CNTSTUID,gender,female,grade,computer,software,internet,desk,own.room,quiet.study,lit,poetry,art,book.sch,tech.book,dict,art.book,ST011Q05TA,ST071Q02NA,ST071Q01NA,ST123Q02NA,ST082Q01NA,ST119Q01NA,ST119Q05NA,ANXTEST,COOPERATE,BELONG,EMOSUPS,WEALTH,PARED,TMINS,ESCS,TEACHSUP,TDTEACH,IBTEACH,SCIEEFF,math,reading,science
79200319,Female,1,Grade 9,1,0,1,1,1,0,0,0,0,1,0,1,1,No,3,6,Agree,Strongly agree,Strongly agree,Agree,0.7291,0.5759,0.0248,0.1004,-1.7925,8,1560,-1.9805,1.4475,-0.3597,0.904,-0.2014,416.7569,510.2425,467.8069
79206213,Female,1,Grade 9,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,NA,NA,Strongly agree,Disagree,Strongly agree,Strongly agree,-0.4968,0.4099,-1.0086,1.0991,-0.4467,14,NA,-0.5279,NA,NA,NA,NA,272.4581,269.052,258.7047
79203708,Female,1,Grade 9,1,0,1,1,1,1,0,0,0,0,0,1,0,No,6,3,Agree,Agree,Strongly agree,Strongly agree,1.3538,-0.7876,-0.3381,-0.3306,-0.7751,8,1720,-1.8296,-0.1164,-0.6102,0.9452,0.3155,338.2141,362.7834,348.8104
79200774,Female,1,Grade 9,0,1,1,1,1,1,1,1,1,1,1,1,0,Yes,8,5,Strongly agree,Disagree,Strongly agree,Agree,-0.3661,-1.319,-1.2009,-0.2495,-1.7348,12,1600,-1.2729,1.4475,2.0781,-0.7404,-0.0743,388.2083,343.5595,344.4069
79201115,Female,1,Grade 9,1,0,1,1,1,1,1,1,0,1,1,1,0,No,8,5,Strongly agree,Disagree,Strongly agree,Agree,-0.3661,-1.3308,-1.9325,1.0991,-0.9719,12,1600,-1.0451,1.4475,2.0781,-1.014,0.3155,479.3165,489.7501,485.3663
79205001,Female,1,Grade 9,NA,0,1,1,1,1,1,0,1,1,0,1,0,No,6,4,Agree,Agree,Agree,Agree,-0.0436,0.8242,0.0901,0.1004,-1.9667,16,1520,-0.3477,0.0926,-0.0117,0.7437,0.298,312.4862,387.9367,342.5828
79203118,Female,1,Grade 9,0,0,0,0,1,1,0,0,0,1,0,1,0,No,NA,NA,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,0.9136,0.9455,1.5043,0.5658,-2.9428,8,1560,-2.574,-0.3068,0.3211,-0.3599,-0.0886,391.5586,406.2741,380.8543
79204022,Female,1,Grade 9,1,1,1,1,0,1,1,1,0,1,1,1,1,Yes,7,7,Agree,Agree,Strongly agree,Strongly agree,1.1199,0.8242,0.0951,-1.2602,-1.1197,12,480,-1.3663,1.4475,0.8729,1.1333,0.1368,471.1069,519.7778,525.1148
79201311,Female,1,Grade 10,1,1,1,1,1,1,1,1,1,1,0,1,1,Yes,0,0,Agree,Disagree,Agree,Agree,1.1924,0.395,-0.9585,-0.1691,-0.6511,16,1760,0.2253,0.6375,-1.315,-0.6059,0.7705,466.8991,487.1586,455.0275
79206447,Female,1,Grade 10,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,10,5,Agree,Disagree,Strongly agree,Agree,-0.0345,0.5759,-0.3381,0.1004,-0.2372,16,1760,0.6992,-0.5249,0.0532,-0.307,0.117,489.6815,515.1179,461.6887
79201727,Female,1,Grade 10,1,NA,1,1,1,1,1,1,0,1,1,1,1,NA,4,3,Agree,Disagree,Strongly agree,Agree,1.0016,0.6615,-0.8082,-0.889,-0.7502,14,NA,-0.486,0.9209,-0.2928,0.1803,1.2028,515.5107,503.8639,496.7171
79200307,Female,1,Grade 10,1,1,1,1,1,1,1,1,0,1,1,1,1,Yes,2,1,Strongly agree,Disagree,Strongly agree,Strongly agree,1.9474,0.4252,-0.1314,1.0991,-0.3063,16,500,0.2523,0.1,-0.3501,0.0753,0.3155,389.4684,401.4408,368.5713
79205041,Female,1,Grade 10,1,1,1,1,1,1,0,0,0,1,0,1,0,Yes,3,2,Agree,Agree,Strongly agree,Strongly agree,1.7237,-0.4374,-0.6525,-1.3298,-1.5034,4,1680,-2.3089,0.1239,-0.7899,-0.8252,-0.0541,406.4047,457.0161,398.0504
79204595,Female,1,Grade 10,1,1,1,1,1,1,1,1,0,1,0,1,1,Yes,9,9,Strongly agree,Disagree,Strongly agree,Strongly agree,1.5125,1.0205,-0.1515,-0.2495,-0.868,12,NA,-0.7585,-0.3068,0.658,-0.121,0.3155,460.7098,456.7313,470.5631
79204962,Female,1,Grade 10,0,0,0,1,1,1,1,1,0,1,0,1,1,No,7,8,Strongly agree,Disagree,Strongly agree,Agree,1.0746,0.4252,1.5611,1.0991,-1.3079,12,1680,-1.3534,0.6426,0.0532,0.6641,0.3155,364.7374,403.4893,362.3379
79203092,Female,1,Grade 10,1,0,1,1,1,0,0,0,1,0,1,1,1,No,NA,NA,Agree,Disagree,Strongly agree,Strongly agree,2.5493,-0.5453,0.0701,-1.5266,-1.4164,8,NA,-1.5578,-0.7153,-0.6102,0.6738,-0.7406,342.6547,432.4764,350.6936
79205837,Female,1,Grade 10,1,0,1,1,1,1,0,0,1,1,0,1,1,No,3,2,Agree,Strongly disagree,Strongly agree,Strongly agree,0.8459,-1.2905,-0.4725,-1.5266,-0.8861,12,NA,-1.0746,0.2407,-0.6102,-1.0496,1.1995,408.5817,458.1726,418.6246
79200926,Female,1,Grade 10,0,0,1,1,1,1,0,0,0,1,0,1,0,No,3,2,Agree,Disagree,Strongly agree,Strongly agree,0.8459,-1.2786,-0.082,-1.2602,-1.9212,4,NA,-2.7089,0.2407,-1.2316,-1.0736,0.1227,466.4356,513.5244,453.3986
79205874,Female,1,Grade 10,1,0,0,1,1,1,0,0,1,1,0,1,0,No,1,6,Agree,Strongly disagree,Strongly agree,Strongly agree,2.5493,-1.0091,2.5915,-1.2602,-1.8369,4,1200,-2.5472,0.6731,-2.4476,1.3554,0.1361,393.2681,435.1994,392.122
