gender,grade,computer,internet,desk,own.room,quiet.study,book.sch,tech.book,art.book,reading
Female,Grade 10,0,0,1,0,0,1,0,0,433.2677
Female,Grade 10,1,0,1,0,1,1,0,0,424.6524
Female,Grade 10,0,0,1,1,1,1,0,0,466.3711
Female,Grade 10,0,0,1,0,0,1,0,0,418.9825
Female,Grade 10,0,0,1,1,0,1,0,1,341.4409
Female,Grade 11,0,0,1,1,1,1,0,0,440.6123
Female,Grade 11,0,0,1,1,1,1,0,0,477.6733
Female,Grade 11,0,1,1,1,1,1,0,0,465.2192
Female,Grade 11,1,1,1,0,1,1,0,0,418.3159
Female,Grade 11,1,1,1,0,1,1,0,0,479.5264
Female,Grade 11,NA,NA,1,1,1,1,NA,NA,355.8762
Female,Grade 11,0,0,1,0,0,0,0,0,401.4078
Female,Grade 9,0,0,1,1,1,1,0,1,382.1595
Female,Grade 9,1,1,1,1,1,0,0,0,555.1265
Female,Grade 9,1,0,0,1,0,1,1,0,252.4638
Female,Grade 9,1,1,1,1,1,1,1,0,458.9348
Female,Grade 10,1,1,NA,1,1,1,0,NA,330.7775
Female,Grade 9,0,0,0,0,1,0,0,0,388.6149
Female,Grade 9,0,0,1,0,0,0,0,0,370.9403
Male,Grade 9,1,1,0,0,0,0,0,0,383.4949
Male,Grade 9,0,0,1,1,1,0,0,0,332.1658
Male,Grade 9,1,1,1,1,NA,1,1,1,385.4793
Female,Grade 9,1,1,1,1,1,1,1,0,370.8861
Male,Grade 9,0,0,0,0,1,1,0,0,271.0006
Male,Grade 9,1,1,1,1,1,1,1,1,367.3346
Male,Grade 9,1,1,1,1,1,1,1,0,363.3148
Male,Grade 10,0,0,0,0,1,0,0,0,421.6751
Male,Grade 10,1,1,1,1,1,1,0,0,366.7961
Male,Grade 9,0,1,1,0,1,0,0,0,341.41
Male,Grade 9,0,0,1,1,1,1,0,0,389.7095
Male,Grade 9,1,1,1,1,1,1,1,1,367.8412
Male,Grade 9,0,1,0,1,1,1,0,1,320.7422
Male,Grade 9,1,1,1,1,1,1,0,1,359.5561
Male,Grade 9,1,1,1,1,1,0,0,0,394.4848
Female,Grade 10,1,0,0,1,1,1,0,0,327.2977
